filepath,xmin,xmax,ymin,ymax
../msc_anpr/images\N21.xml,244,403,221,258
../msc_anpr/images\N210.xml,143,337,210,254
../msc_anpr/images\N211.xml,74,160,149,175
../msc_anpr/images\N212.xml,159,353,115,173
../msc_anpr/images\N213.xml,131,209,129,153
../msc_anpr/images\N214.xml,167,277,189,226
../msc_anpr/images\N215.xml,85,258,390,446
../msc_anpr/images\N216.xml,322,682,300,371
../msc_anpr/images\N217.xml,404,585,429,468
../msc_anpr/images\N218.xml,176,301,212,238
../msc_anpr/images\N219.xml,1,300,92,154
../msc_anpr/images\N22.xml,493,858,885,967
../msc_anpr/images\N220.xml,182,349,238,273
../msc_anpr/images\N221.xml,104,209,153,182
../msc_anpr/images\N222.xml,127,183,122,156
../msc_anpr/images\N223.xml,69,585,79,183
../msc_anpr/images\N224.xml,164,272,223,247
../msc_anpr/images\N225.xml,775,1142,965,1101
../msc_anpr/images\N226.xml,142,343,253,304
../msc_anpr/images\N227.xml,626,768,280,359
../msc_anpr/images\N229.xml,358,1031,294,540
../msc_anpr/images\N23.xml,107,201,264,288
../msc_anpr/images\N230.xml,271,484,332,384
../msc_anpr/images\N231.xml,581,700,273,319
../msc_anpr/images\N232.xml,286,451,216,258
../msc_anpr/images\N233.xml,99,223,20,50
../msc_anpr/images\N234.xml,224,307,158,183
../msc_anpr/images\N235.xml,44,656,128,391
../msc_anpr/images\N236.xml,313,380,111,141
../msc_anpr/images\N237.xml,121,243,163,198
../msc_anpr/images\N238.xml,165,341,129,170
../msc_anpr/images\N239.xml,106,263,238,276
../msc_anpr/images\N24.xml,151,280,193,224
../msc_anpr/images\N240.xml,164,285,99,137
../msc_anpr/images\N241.xml,251,542,308,385
../msc_anpr/images\N242.xml,202,386,190,227
../msc_anpr/images\N244.xml,335,452,313,343
../msc_anpr/images\N245.xml,192,364,279,319
../msc_anpr/images\N246.xml,23,160,261,321
../msc_anpr/images\N247.xml,641,886,518,578
../msc_anpr/images\N248.xml,288,429,248,281
../msc_anpr/images\N25.xml,132,235,169,193
../msc_anpr/images\N27.xml,696,1061,546,677
../msc_anpr/images\N28.xml,738,1009,654,722
../msc_anpr/images\N3.xml,73,260,381,462
../msc_anpr/images\N30.xml,928,1219,543,606
../msc_anpr/images\N31.xml,256,381,233,261
../msc_anpr/images\N32.xml,360,500,171,206
../msc_anpr/images\N33.xml,856,1218,665,751
../msc_anpr/images\N34.xml,576,902,487,596
../msc_anpr/images\N35.xml,97,229,338,378
../msc_anpr/images\N36.xml,392,517,161,213
../msc_anpr/images\N37.xml,77,200,231,290
../msc_anpr/images\N38.xml,397,645,590,641
../msc_anpr/images\N4.xml,1326,1830,1464,1607
../msc_anpr/images\N40.xml,328,580,208,254
../msc_anpr/images\N42.xml,163,373,253,327
../msc_anpr/images\N43.xml,142,298,281,327
../msc_anpr/images\N44.xml,113,257,282,322
../msc_anpr/images\N45.xml,107,256,147,180
../msc_anpr/images\N46.xml,454,797,109,234
../msc_anpr/images\N47.xml,161,313,212,259
../msc_anpr/images\N48.xml,156,335,259,303
../msc_anpr/images\N49.xml,196,352,135,173
../msc_anpr/images\N5.xml,938,1173,709,762
../msc_anpr/images\N50.xml,101,397,223,291
../msc_anpr/images\N51.xml,383,491,212,248
../msc_anpr/images\N52.xml,234,422,254,294
../msc_anpr/images\N53.xml,217,428,147,188
../msc_anpr/images\N54.xml,189,299,162,188
../msc_anpr/images\N56.xml,302,486,265,303
../msc_anpr/images\N57.xml,211,406,161,202
../msc_anpr/images\N58.xml,221,430,190,231
../msc_anpr/images\N59.xml,1238,2468,1012,1269
../msc_anpr/images\N6.xml,858,1122,611,676
../msc_anpr/images\N61.xml,158,350,252,297
../msc_anpr/images\N62.xml,289,421,188,232
../msc_anpr/images\N63.xml,297,422,174,218
../msc_anpr/images\N64.xml,19,94,249,314
../msc_anpr/images\N65.xml,1024,1273,611,680
../msc_anpr/images\N66.xml,163,320,247,280
../msc_anpr/images\N67.xml,164,336,162,195
../msc_anpr/images\N68.xml,319,479,262,295
../msc_anpr/images\N69.xml,637,840,464,549
../msc_anpr/images\N7.xml,1149,1358,649,702
../msc_anpr/images\N70.xml,186,395,376,430
../msc_anpr/images\N72.xml,186,325,177,212
../msc_anpr/images\N73.xml,124,209,102,130
../msc_anpr/images\N74.xml,161,366,210,250
../msc_anpr/images\N75.xml,466,740,680,737
../msc_anpr/images\N77.xml,361,566,190,297
../msc_anpr/images\N78.xml,146,302,160,196
../msc_anpr/images\N79.xml,113,277,288,347
../msc_anpr/images\N8.xml,788,1525,1675,1851
../msc_anpr/images\N80.xml,248,372,116,144
../msc_anpr/images\N81.xml,66,174,302,332
../msc_anpr/images\N82.xml,456,651,722,778
../msc_anpr/images\N84.xml,235,349,319,352
../msc_anpr/images\N85.xml,163,302,357,427
../msc_anpr/images\N86.xml,448,638,273,338
../msc_anpr/images\N88.xml,208,370,89,173
../msc_anpr/images\N89.xml,150,378,217,269
../msc_anpr/images\N9.xml,142,441,55,167
../msc_anpr/images\N90.xml,53,185,206,232
../msc_anpr/images\N91.xml,239,347,187,211
../msc_anpr/images\N92.xml,113,420,209,260
../msc_anpr/images\N93.xml,385,746,293,434
../msc_anpr/images\N94.xml,63,243,234,274
../msc_anpr/images\N95.xml,23,408,173,391
../msc_anpr/images\N96.xml,137,352,141,186
../msc_anpr/images\N97.xml,175,290,228,255
../msc_anpr/images\N98.xml,563,675,207,238
../msc_anpr/images\N99.xml,158,389,129,193
